Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,10.27,2071,Diesel,Dealer,Manual,0
ciaz,2015,6.5,9.85,20000,Diesel,Dealer,Manual,0
baleno,2017,7.99,9.02,4500,Petrol,Dealer,Manual,0
ertiga,2015,7.45,12.61,35000,Petrol,Dealer,Manual,0
camry,2012,10.5,22.5,24000,Petrol,Dealer,Automatic,0
innova,2016,10.5,18.36,49000,Diesel,Dealer,Manual,0
fortuner,2018,27.5,36.23,5600,Diesel,Dealer,Automatic,0
alto,2012,1.95,3.46,75000,Petrol,Individual,Manual,1
wagonr,2009,1.2,3.08,80000,Petrol,Individual,Manual,0
omni,2010,0.85,2.9,65000,Petrol,Individual,Manual,0
alto 800,2016,3.45,4.2,12000,Petrol,Dealer,Manual,0
i20,2013,4.25,7.99,26000,Petrol,Individual,Manual,0
swift,2016,6.5,7.49,28000,Petrol,Dealer,Manual,0
swift dzire,2013,4.75,6.99,43000,Petrol,Individual,Manual,1
creta,2016,10.0,15.0,24000,Diesel,Dealer,Manual,0
honda city,2014,6.75,10.1,38000,Petrol,Dealer,Manual,0
honda city,2015,8.75,10.1,18000,Petrol,Dealer,Manual,0
corolla altis,2012,8.25,16.89,57000,Petrol,Dealer,Manual,0
corolla altis,2014,9.5,16.89,42000,Petrol,Dealer,Manual,0
etios cross,2015,5.49,7.22,38000,Petrol,Dealer,Manual,0
etios g,2014,4.5,7.0,32000,Petrol,Dealer,Manual,0
etios liva,2015,5.25,7.0,29000,Petrol,Dealer,Manual,0
fortuner,2015,22.75,36.23,18000,Diesel,Dealer,Automatic,0
innova,2013,8.5,18.36,46000,Diesel,Dealer,Manual,0
jazz,2011,3.5,8.61,42000,Petrol,Individual,Manual,0
land cruiser,2010,18.75,52.59,78000,Diesel,Dealer,Manual,0
800,2007,0.65,2.64,110000,Petrol,Individual,Manual,0
activa 4g,2017,0.8,0.9,11000,Petrol,Individual,Automatic,0
swift,2012,3.25,6.87,60000,Petrol,Dealer,Manual,0
swift dzire,2017,8.25,9.23,10000,Petrol,Dealer,Manual,0
alto,2006,0.9,3.06,90000,Petrol,Individual,Manual,0
ertiga,2013,5.75,12.61,42000,Petrol,Dealer,Manual,0
ciaz,2016,7.0,9.85,15000,Petrol,Dealer,Manual,0
fortuner,2017,23.5,36.23,12000,Diesel,Dealer,Automatic,0
innova,2014,11.5,18.36,36000,Diesel,Dealer,Manual,0
creta,2015,8.0,15.0,38000,Petrol,Dealer,Manual,0
i10,2010,2.25,5.09,52000,Petrol,Individual,Manual,0
i10,2012,3.0,5.09,36000,Petrol,Dealer,Manual,0
i20,2016,6.75,7.99,18000,Petrol,Dealer,Manual,0
xcent,2016,6.0,9.34,22000,Petrol,Dealer,Manual,0
xcent,2015,5.25,9.34,30000,Petrol,Dealer,Manual,0
baleno,2015,4.75,6.99,42000,Petrol,Dealer,Manual,0
ritz,2012,2.5,5.59,43000,Petrol,Individual,Manual,0
swift,2013,3.75,6.87,60000,Petrol,Individual,Manual,0
wagon r,2007,0.9,3.86,70000,Petrol,Individual,Manual,0
